 23.545683, 74.448134,RAJASTHAN,BANSWARA,2.8,0.5,1.6,0.9,5.2,97.7,284.3,302.5,147.3,24.4,12.6,3.2,883,3.3,7.7,831.8,40.2
 26.931977, 81.203728,UTTAR PRADESH,BARABANKI,16.9,14.4,8.1,5.8,17.8,112.1,309.7,284.4,224.3,50.3,2.9,8.7,1055.4,31.3,31.7,930.5,61.9
 25.113409, 76.513669,RAJASTHAN,BARAN,7.1,3.2,2.8,1.7,6.5,73.3,295.3,303.6,120,25.2,9.7,4.3,852.7,10.3,11,792.2,39.2
 28.361856, 79.419697,UTTAR PRADESH,BAREILLY,20.3,18.9,12.6,5.6,18.7,96.6,294.7,296.7,165.8,57.9,2.4,6.4,996.6,39.2,36.9,853.8,66.7
 21.339228, 83.63098,ORISSA,BARGARH,8.7,14.9,18.1,14.8,19.5,188.4,362.1,357.4,217.9,51.2,6.8,5.1,1264.9,23.6,52.4,1125.8,63.1
 25.743971, 71.393059,RAJASTHAN,BARMER,1.2,1.7,2.3,3.2,9.1,27.4,88.6,86.7,40.7,4.1,3.2,0.4,268.6,2.9,14.6,243.4,7.7
 26.318438, 91.012313,ASSAM,BARPETA,10.3,26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441,175.2
 22.02929, 74.891275,MADHYA PRADESH,BARWANI,2.9,0.8,1.9,0.9,7.2,105.6,198,194.6,137.2,35.5,10.8,5.8,701.2,3.7,10,635.4,52.1
 26.801568, 82.758574,UTTAR PRADESH,BASTI,15.4,10.4,10.9,5.5,20.7,129.4,324.5,289.3,200.4,46.5,2.2,7.5,1062.7,25.8,37.1,943.6,56.2
 30.293282, 74.951926,PUNJAB,BATHINDA,11.5,17.4,13,8,9.7,33.5,109.6,115.4,62.5,19.2,2.7,5.4,407.9,28.9,30.7,321,27.3
 25.409515, 86.135757,BIHAR,BEGUSARAI,8.1,8.4,13.2,17.3,48.9,154.3,296.8,255.3,215.2,63,4.8,5.4,1090.7,16.5,79.4,921.6,73.2
 15.143301, 76.923557,KARNATAKA,BELLARY,1.4,1.4,2.9,26.2,57.9,72.4,77,89.3,137.3,116.3,31.1,9.6,622.8,2.8,87,376,157
 21.903513, 77.902064,MADHYA PRADESH,BETUL,7.5,8.5,9.3,5.9,6.4,137,290.6,293.4,197.5,49.4,13.4,9.9,1028.8,16,21.6,918.5,72.7
 21.068425, 86.503508,ORISSA,BHADRAK,9.9,34.1,37.6,53.1,103.9,218.4,269.8,354,227.7,159.5,35.3,4.1,1507.4,44,194.6,1069.9,198.9
 25.239305, 86.974522,BIHAR,BHAGALPUR,17.7,10.5,10.2,23.2,65.5,197.8,291,261,227.5,88.5,8.6,6.4,1207.9,28.2,98.9,977.3,103.5
